"replicate_id","living_size","total_size","seed","speciation","extinction"
28,100,861,128,1.01400767831124,0.695514702016463
28,150,926,128,1.04343577763178,0.762293601606664
29,50,424,129,1.0142850527902,0.821028046764962
29,100,498,129,1.0405156145538,0.776462680056754
29,150,1459,129,1.00099808688474,0.851144648347046
30,50,144,130,1.27235485490593,0.819316005001545
30,100,951,130,1.0460620233892,0.775212545027347
30,150,1158,130,0.987960097063267,0.722411539041948
31,50,167,131,1.11939841063943,0.574599663107463
31,100,557,131,1.0285037645015,0.544234426217213
31,150,1098,131,0.982202588484777,0.738937764842815
32,50,338,132,0.996452094575602,0.737741446254283
32,100,557,132,1.02095277347341,0.804455741365098
32,150,728,132,1.07615418078049,0.759489207405487
33,50,476,133,1.01292980293867,0.828347288234372
33,100,637,133,1.03890917830146,0.791969558225505
33,150,1295,133,1.00671797619471,0.860208645733284
34,50,347,134,1.04877800019078,0.735271774325395
34,100,809,134,1.04891972702335,0.784023565033321
34,150,1386,134,1.00459797696214,0.696712279862373
35,50,296,135,0.957245195644503,0.703975850235457
35,100,878,135,0.983177750790996,0.677270950915201
35,150,1220,135,1.02877263350631,0.773369653609071
36,50,335,136,1.00795077116972,0.72840503476245
36,100,621,136,1.01806258095367,0.776011379178507
36,150,1157,136,0.979631489457572,0.628399665935744
37,50,185,137,1.14913697504499,0.829970453466454
37,100,901,137,1.03109424165393,0.725068900568236
37,150,1083,137,1.04297024446185,0.753068386953509
38,50,290,138,1.09023095170131,0.855818819169641
38,100,745,138,1.00253837615957,0.737163416255819
38,150,1303,138,1.02936603483393,0.793937149430503
39,50,297,139,1.04098227593994,0.822291730615258
39,100,618,139,0.966449586883907,0.805766788522005
39,150,852,139,1.0529572275117,0.832107680683164
40,50,271,140,1.07772991160641,0.610331509849963
40,100,587,140,1.09052760519951,0.703519831397095
40,150,1013,140,1.08099255578118,0.791000070669217
41,50,323,141,1.06578528284872,0.766942851803504
41,100,649,141,1.01334671420345,0.790052535328655
41,150,1113,141,1.01864626694239,0.828837634452305
42,50,274,142,1.07542236882168,0.766758836271808
42,100,466,142,1.0306628250101,0.70939692200903
42,150,712,142,1.05820076965906,0.752388648798183
43,50,224,143,1.13578142582592,0.886673799179619
43,100,450,143,1.07422020974991,0.697609623816164
43,150,1407,143,0.998182327064906,0.73240301351391
44,50,185,144,1.02125371144317,0.500695125266604
44,100,803,144,1.01778447763989,0.758471180329086
44,150,1480,144,0.983562092873107,0.798627198940326
45,50,362,145,1.00857345276118,0.776258670808236
45,100,648,145,1.09436417514995,0.665343308748166
45,150,928,145,1.04638856343908,0.702564970102054
46,50,266,146,1.06753221580994,0.699861590345579
46,100,506,146,1.03252352430407,0.731329094770709
46,150,643,146,1.02447347961484,0.66807645755303
47,50,238,147,1.08598608665937,0.700706249780521
47,100,658,147,1.06943014626678,0.772067955266752
47,150,1072,147,0.998234101248116,0.818745134437112
48,50,231,148,1.11820137946346,0.783394876481167
48,100,652,148,1.05239025051249,0.765619235773321
48,150,688,148,1.03458984539129,0.610852079146473
49,50,420,149,0.998310388652355,0.688319933992196
49,100,712,149,1.0002708649276,0.632619380390658
49,150,795,149,1.0666596811563,0.721908228938789
50,50,176,150,1.09080092206755,0.746140684534005
50,100,792,150,0.98830454355621,0.69739519050584
50,150,868,150,1.0382150603398,0.758323566914823
